"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Burundi","BDI","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","21.85323","","21.99282","25.43638","24.51474","25.5955","23.95955","25.9284","27.15767","28.64978","30.19914","28.81526","18.21286","14.13379","15.47575","17.74284","17.96235","18.46435","24.68273","22.20746","21.76269","23.01379","23.69027","","","","","","","25.22698","24.51635","26.33476","26.48764","29.07491","30.40693","28.83548","31.95767","33.75358","32.31314","33.69318","36.22002","33.06936","28.98482","24.25129","22.60202","22.03026","23.89185","25.72155","","","",
"Bélgica","BEL","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","23.68428","23.65306","23.93345","23.43482","22.91489","23.09762","22.55955","19.36073","19.00217","20.42778","18.15167","17.69941","16.50595","15.99457","16.16085","","","15.84507","","","","","","","","","","","","","","","3.17955","3.16626","3.38939","3.29742","3.26227","3.14131","2.95997","2.60867","2.48738","2.49436","2.28107","2.21264","","","","",
"Benin","BEN","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","18.84448","17.43618","19.07698","20.61091","17.60466","21.2298","21.69426","20.91892","18.47688","23.22106","19.57697","18.15918","22.46622","28.51511","25.91956","26.85275","26.1471","26.18223","26.23313","24.56464","21.48353","23.12111","23.8831","24.655","24.45744","25.10534","25.15419","23.73456","","19.91026","19.8758","21.58297","19.92558","23.07487","16.78471","","","14.30238","","13.38815","10.8313","11.60815","11.22144","10.84061","10.73499","9.91598","","15.11129","","","",
"Burkina Faso","BFA","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","16.14698","17.43911","17.5428","17.44234","17.03115","17.45185","18.52482","18.75735","17.9562","17.9144","17.09021","16.42446","16.57038","16.51128","14.08236","","15.50892","16.51125","16.95111","17.30648","17.74871","16.70865","16.63681","15.99481","16.25605","15.95489","","","17.71132","17.03283","17.6083","17.5254","15.08956","13.03909","11.92663","11.97501","11.75001","10.51572","10.56267","10.12248","","8.18048","7.37977","6.87415","5.5887","5.65723","6.35369","5.70354","","","",
"Bangladesh","BGD","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","18.5495","16.42471","","","","17.77617","","","","","","","","6.82628","","","","","","","","","","","","","","","","10.24688","10.93803","","13.15478","13.25531","12.46093","","","","","","","4.74292","4.14134","","","",
"Bulgaria","BGR","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","5.80593","5.70415","5.17119","4.48994","3.14616","1.99296","1.94945","2.18066","2.05711","2.11077","1.99042","1.89168","1.77866","1.83044","1.8669","1.96084","1.96528","2.241","2.8167","3.2753","4.82355","5.01391","5.52894","4.84076","3.90631","3.54231","3.35001","3.30097","3.22326","3.12592","2.37017","2.50475","2.27196","2.26242","2.33607","2.31537","2.14923","1.81689","1.59498","0.61996","0.21993","0.16285","0.12851","0.09774","0.11077","0.07405","0.07826","","","","",
"Bahrein","BHR","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","11.30269","12.23092","11.02193","7.42035","8.54701","8.48037","8.76825","8.08655","","5.10083","4.6241","4.61552","5.07708","5.23303","5.45873","","5.2864","3.84263","4.30777","4.24648","3.78252","","3.16173","2.79595","2.6705","","","","","1.15437","1.0144","0.90905","0.69161","0.64979","0.48302","0.34643","0.32823","","","",
"Bahamas","BHS","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","0","0","0","0","0","3.52003","3.74446","3.35735","3.19797","2.96799","3.15719","3.32735","","3.23007","","","",
"Bosnia y Herzegovina","BIH","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07696","0.06162","0.06561","0.05678","0.07142","0.09783","0.12607","0.13528","0.15474","0.14119","0.09286","","","",
"Belarús","BLR","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","1.15173","1.06325","0.74159","0.58868","0.56923","0.48986","0.52256","0.51291","0.51261","0.38194","0.34773","0.38018","0.33666","0.37141","0.43186","0.45323","","0.50803","0.79784","0.99078","1.15485","1.24174","1.2439","1.18185","1.19441","1.07578","0.944","0.7646","0.52303","0.55992","0.37117","0.31766","0.24805","0.104","0.06902","0.05384","0.05035","0.04251","0.04722","0.03829","0.06246","0.02956","0.03796","0.02983","0.02894","0.03289","0.04374","0.04302","","","",
